"stock_code","description","total_quantity","total_revenue"
"21212","PACK OF 72 RETROSPOT CAKE CASES","48156","27770.72"
"20719","WOODLAND CHARLOTTE BAG","24479","27598.42"
"21930","JUMBO STORAGE BAG SKULLS","13390","27368.08"
"22624","IVORY KITCHEN SCALES","3152","27282.73"
"72741","GRAND CHOCOLATECANDLE","19712","27239.46"
"22835","HOT WATER BOTTLE I AM SO POORLY","5302","27082.84"
"22492","MINI PAINT SET VINTAGE","42286","27056.19"
"84991","60 TEATIME FAIRY CAKE CASES","54028","27041.21"
"22961","JAM MAKING SET PRINTED","17252","26888.43"
"22734","SET OF 6 RIBBONS VINTAGE CHRISTMAS","9772","26763.75"
"22386","JUMBO BAG PINK WITH WHITE SPOTS","14202","26242.66"
"22149","FELTCRAFT 6 FLOWER FRIENDS","12674","26218.97"
"22867","HAND WARMER BIRD DESIGN","11872","26117.63"
"22551","PLASTERS IN TIN SPACEBOY","15441","25912.87"
"47566B","TEA TIME PARTY BUNTING","5801","25803.49"
"20711","JUMBO BAG TOYS","12643","25719.13"
"21481","FAWN BLUE HOT WATER BOTTLE","8174","25613.45"
"22507","MEMO BOARD RETROSPOT  DESIGN","5455","25603.46"
"22090","PAPER BUNTING RETROSPOT","8406","25497.96"
"37503","TEA TIME CAKE STAND IN GIFT BOX","2465","25428.33"
"21485","RETROSPOT HEART HOT WATER BOTTLE","5168","25408.01"
"21108","FAIRY CAKE FLANNEL ASSORTED COLOUR","12962","25407.27"
"22087","PAPER BUNTING WHITE LACE","8475","25389.10"
"84755","COLOUR GLASS T-LIGHT HOLDER HANGING","40439","25205.13"
"22084","PAPER CHAIN KIT EMPIRE","8803","25163.56"
"85099B","JUMBO BAG RED WHITE SPOTTY","14060","25043.62"
"20724","RED RETROSPOT CHARLOTTE BAG","20663","24958.77"
"22090","PAPER BUNTING RETRO SPOTS","8292","24933.94"
"23173","REGENCY TEAPOT ROSES","2766","24879.13"
"20972","PINK CREAM FELT CRAFT TRINKET BOX","20496","24785.31"
"48138","DOOR MAT UNION FLAG","3775","24770.81"
"21314","SMALL GLASS HEART TRINKET POT","11426","24641.39"
"23203","JUMBO BAG VINTAGE DOILY","11448","24489.08"
"22722","SET OF 6 SPICE TINS PANTRY DESIGN","5972","24459.96"
"84077","WORLD WAR 2 GLIDERS ASSTD DESIGNS","106139","24445.61"
"71459","HANGING JAM JAR T-LIGHT HOLDER","30176","24440.74"
"84836","ZINC METAL HEART DECORATION","19847","24289.33"
"22728","ALARM CLOCK BAKELIKE PINK","6215","24257.31"
"47590A","BLUE HAPPY BIRTHDAY BUNTING","4752","24174.01"
"21231","SWEETHEART CERAMIC TRINKET BOX","19428","24128.86"
"21212","PACK OF 72 RETRO SPOT CAKE CASES","46728","24054.43"
"22698","PINK REGENCY TEACUP AND SAUCER","8049","23990.62"
"22383","LUNCH BAG SUKI  DESIGN","14347","23893.29"
"23344","JUMBO BAG 50'S CHRISTMAS","10285","23772.07"
"22171","3 HOOK PHOTO SHELF ANTIQUE WHITE","3141","23709.46"
"21790","VINTAGE SNAP CARDS","27244","23506.17"
"23243","SET OF TEA COFFEE SUGAR TINS PANTRY","4800","23489.42"
"22605","WOODEN CROQUET GARDEN SET","1827","23426.82"
"82600","NO SINGING METAL SIGN","11450","23096.77"
"84406B","CREAM CUPID HEARTS COAT HANGER","7131","23080.13"
"20914","SET/5 RED RETROSPOT LID GLASS BOWLS","7964","23040.04"
"22625","RED KITCHEN SCALES","2627","22911.55"
"22607","WOODEN ROUNDERS GARDEN SET","2533","22906.54"
"21791","VINTAGE HEADS AND TAILS CARD GAME","17604","22858.60"
"22554","PLASTERS IN TIN WOODLAND ANIMALS","13588","22853.72"
"22556","PLASTERS IN TIN CIRCUS PARADE","13585","22334.08"
"37449","CERAMIC CAKE STAND + HANGING CAKES","2382","22333.30"
"20749","ASSORTED COLOUR MINI CASES","3062","22097.61"
"22113","GREY HEART HOT WATER BOTTLE","5759","22025.93"
"22585","PACK OF 6 BIRDY GIFT TAGS","17557","21977.30"
"22499","WOODEN UNION JACK BUNTING","3584","21826.52"
"23202","JUMBO BAG VINTAGE LEAF","10941","21810.43"
"84970S","HANGING HEART ZINC T-LIGHT HOLDER","26444","21794.26"
"22941","CHRISTMAS LIGHTS 10 REINDEER","2615","21727.58"
"22456","NATURAL SLATE CHALKBOARD LARGE","4416","21583.20"
"22969","HOMEMADE JAM SCENTED CANDLES","14461","21501.99"
"21524","DOORMAT SPOTTY HOME SWEET HOME","2817","21414.04"
"21213","PACK OF 72 SKULL CAKE CASES","40263","21390.76"
"21258","VICTORIAN SEWING BOX LARGE","1505","21386.56"
"48184","DOORMAT ENGLISH ROSE","3234","21326.30"
"22139","RETRO SPOT TEA SET CERAMIC 11 PC","4438","21301.04"
"22502","PICNIC BASKET WICKER SMALL","3705","21260.80"
"85048","15CM CHRISTMAS GLASS BALL 20 LIGHTS","2685","21201.13"
"22083","PAPER CHAIN KIT RETRO SPOT","7579","21151.79"
"22570","FELTCRAFT CUSHION RABBIT","5631","20901.10"
"22424","ENAMEL BREAD BIN CREAM","1529","20886.89"
"23206","LUNCH BAG APPLE DESIGN","12147","20852.58"
"21218","RED SPOTTY BISCUIT TIN","5256","20800.31"
"22294","HEART FILIGREE DOVE  SMALL","16671","20629.38"
"22617","BAKING SET SPACEBOY DESIGN","4251","20546.99"
"22693","GROW A FLYTRAP OR SUNFLOWER IN TIN","17875","20469.08"
"AMAZONFEE","AMAZON FEE","3","20467.80"
"20723","STRAWBERRY CHARLOTTE BAG","18296","20401.05"
"22568","FELTCRAFT CUSHION OWL","5479","20244.97"
"85150","LADIES & GENTLEMEN METAL SIGN","8361","20237.72"
"48188","DOORMAT WELCOME PUPPIES","3414","20209.40"
"22273","FELTCRAFT DOLL MOLLY","7352","20142.14"
"22569","FELTCRAFT CUSHION BUTTERFLY","5521","20104.43"
"21622","VINTAGE UNION JACK CUSHION COVER","3699","19936.94"
"22413","METAL SIGN TAKE IT OR LEAVE IT","6976","19728.24"
"21174","POTTERING IN THE SHED METAL SIGN","9696","19593.81"
"21936","RED RETROSPOT PICNIC BAG","6680","19576.72"
"22561","WOODEN SCHOOL COLOURING SET","11642","19524.27"
"22558","CLOTHES PEGS RETROSPOT PACK 24","13809","19513.17"
"22169","FAMILY ALBUM WHITE PICTURE FRAME","2275","19507.60"
"22384","LUNCH BAG PINK POLKADOT","11751","19500.66"
"84946","ANTIQUE SILVER T-LIGHT GLASS","14664","19381.62"
"22427","ENAMEL FLOWER JUG CREAM","3210","19273.28"
"22083","PAPER CHAIN KIT RETROSPOT","6137","19261.03"
"21340","CLASSIC METAL BIRDCAGE PLANT HOLDER","1758","19194.13"
"21908","CHOCOLATE THIS WAY METAL SIGN","9678","19125.98"
"22061","LARGE CAKE STAND  HANGING STRAWBERY","2171","19121.37"
"84949","SILVER HANGING T-LIGHT HOLDER","11945","19015.80"
"84947","ANTIQUE SILVER TEA GLASS ENGRAVED","15810","18744.17"
"22383","LUNCH BAG SUKI DESIGN","10301","18699.43"
"22041","RECORD FRAME 7"" SINGLE SIZE","7540","18650.87"
"71053","WHITE METAL LANTERN","4700","18525.22"
"22555","PLASTERS IN TIN STRONGMAN","11321","18323.32"
"21484","CHICK GREY HOT WATER BOTTLE","4584","18171.14"
"21430","SET/3 RED GINGHAM ROSE STORAGE BOX","4621","18044.97"
"22505","MEMO BOARD COTTAGE DESIGN","3773","18034.63"
"22147","FELTCRAFT BUTTERFLY HEARTS","12826","17890.68"
"22560","TRADITIONAL MODELLING CLAY","14836","17861.71"
"84945","MULTI COLOUR SILVER T-LIGHT HOLDER","21605","17746.71"
"21914","BLUE HARMONICA IN BOX","12957","17725.36"
"22297","HEART IVORY TRELLIS SMALL","13715","17702.62"
"22847","BREAD BIN DINER STYLE IVORY","1112","17669.99"
"22633","HAND WARMER UNION JACK","8541","17576.67"
"84467","ENGLISH ROSE DESIGN QUILTED THROW","816","17477.66"
"21136","PAINTED METAL PEARS ASSORTED","10496","17451.45"
"22557","PLASTERS IN TIN VINTAGE PAISLEY","10369","17401.30"
"23203","JUMBO BAG DOILEY PATTERNS","8893","17268.69"
"84992","72 SWEETHEART FAIRY CAKE CASES","34797","17259.85"
"21928","JUMBO BAG SCANDINAVIAN BLUE PAISLEY","8411","17239.69"
"84970L","SINGLE HEART ZINC T-LIGHT HOLDER","17400","17177.04"
"21889","WOODEN BOX OF DOMINOES","12805","17095.66"
"21527","RED RETROSPOT TRADITIONAL TEAPOT","2337","17030.56"
"22654","DELUXE SEWING KIT","2534","16971.27"
"21559","STRAWBERRY LUNCH BOX WITH CUTLERY","6779","16891.44"
"22652","TRAVEL SEWING KIT","9910","16794.05"
"22952","60 CAKE CASES VINTAGE CHRISTMAS","27970","16770.31"
"21164","HOME SWEET HOME METAL SIGN","5981","16626.41"
"22993","SET OF 4 PANTRY JELLY MOULDS","12649","16478.48"
"72760B","VINTAGE CREAM 3 BASKET CAKE STAND","1699","16409.02"
"22487","WHITE WOOD GARDEN PLANT LADDER","1632","16373.70"
"21843","RETRO SPOT CAKE STAND","1493","16354.01"
"23301","GARDENERS KNEELING PAD KEEP CALM","8807","16327.35"
"22662","LUNCH BAG DOLLY GIRL DESIGN","9951","16213.61"
"48173C","DOORMAT BLACK FLOCK","2844","16032.71"
"22296","HEART IVORY TRELLIS LARGE","9719","16027.56"
"22692","DOORMAT WELCOME TO OUR HOME","2135","15965.95"
"21877","HOME SWEET HOME MUG","14054","15954.75"
"22634","CHILDS BREAKFAST SET SPACEBOY","1688","15946.55"
"20685","DOOR MAT RED SPOT","2485","15889.75"
"35004C","SET OF 3 COLOURED  FLYING DUCKS","3035","15874.38"
"22759","SET OF 3 NOTEBOOKS IN PARCEL","9380","15866.56"
"22837","HOT WATER BOTTLE BABUSHKA","3398","15837.18"
"22690","DOORMAT HOME SWEET HOME BLUE","2530","15836.35"
"23313","VINTAGE CHRISTMAS BUNTING","2990","15798.66"
"22635","CHILDS BREAKFAST SET DOLLY GIRL","1660","15795.01"
"84997D","PINK 3 PIECE MINI DOTS CUTLERY SET","4353","15759.53"
"84375","SET OF 20 KIDS COOKIE CUTTERS","7575","15753.18"
"22632","HAND WARMER RED RETROSPOT","7698","15664.13"
"22193","RED DINER WALL CLOCK","1850","15658.98"
"22170","PICTURE FRAME WOOD TRIPLE PORTRAIT","2385","15645.27"
"22619","SET OF 6 SOLDIER SKITTLES","3992","15560.09"
"21891","TRADITIONAL WOODEN SKIPPING ROPE","12142","15547.75"
"48111","DOORMAT 3 SMILEY CATS","2419","15437.73"
"22173","METAL 4 HOOK HANGER FRENCH CHATEAU","5026","15411.90"
"85014B","RED/WHITE DOTS RUFFLED UMBRELLA","3456","15400.28"
"84378","SET OF 3 HEART COOKIE CUTTERS","11637","15388.44"
"85014B","RED RETROSPOT UMBRELLA","2699","15376.30"
"22749","FELTCRAFT PRINCESS CHARLOTTE DOLL","3759","15354.35"
"21094","SET/6 RED SPOTTY PAPER PLATES","19633","15334.03"
"84997B","RED 3 PIECE MINI DOTS CUTLERY SET","4205","15324.35"
"22940","FELTCRAFT CHRISTMAS FAIRY","3491","15282.81"
"22909","SET OF 20 VINTAGE CHRISTMAS NAPKINS","17144","15275.82"
"21975","PACK OF 60 DINOSAUR CAKE CASES","31332","15236.62"
"21165","BEWARE OF THE CAT METAL SIGN","9360","15167.38"
"21217","RED RETROSPOT ROUND CAKE TINS","1420","15123.20"
"20750","RED RETROSPOT MINI CASES","2066","15118.47"
"82582","AREA PATROLLED METAL SIGN","7479","15110.98"
"35970","ZINC FOLKART SLEIGH BELLS","8375","15072.58"
"22946","WOODEN ADVENT CALENDAR CREAM","976","15060.57"
"22606","WOODEN SKITTLES GARDEN SET","1069","14881.94"
"22730","ALARM CLOCK BAKELIKE IVORY","3702","14867.27"
"21770","OPEN CLOSED METAL SIGN","2991","14807.30"
"17003","BROCADE RING PURSE","70369","14766.42"
"22485","SET OF 2 WOODEN MARKET CRATES","1101","14677.84"
"21912","VINTAGE SNAKES & LADDERS","3734","14651.33"
"21217","RED SPOTTY ROUND CAKE TINS","1484","14646.04"
"21380","WOODEN HAPPY BIRTHDAY GARLAND","5031","14593.32"
"84050","PINK HEART SHAPE EGG FRYING PAN","9853","14525.00"
"84997D","CHILDRENS CUTLERY POLKADOT PINK","3666","14493.64"
"84997C","BLUE 3 PIECE MINI DOTS CUTLERY SET","3970","14438.97"
"21672","WHITE SPOT RED CERAMIC DRAWER KNOB","11120","14411.13"
"22384","LUNCH BAG PINK RETROSPOT","8914","14391.72"
"22352","LUNCH BOX WITH CUTLERY RETROSPOT","5678","14348.82"
"20748","KENSINGTON COFFEE SET","1600","14266.98"
"21169","YOU'RE CONFUSING ME METAL SIGN","8856","14262.61"
"23200","JUMBO BAG PEARS","7067","14188.96"
"84380","SET OF 3 BUTTERFLY COOKIE CUTTERS","10405","14076.34"
"22627","MINT KITCHEN SCALES","1600","14016.80"
"35400","WOODEN BOX ADVENT CALENDAR","1435","13999.10"
"23343","JUMBO BAG VINTAGE CHRISTMAS","6078","13972.71"
"21257","VICTORIAN SEWING BOX MEDIUM","1549","13968.48"
"22236","CAKE STAND 3 TIER MAGIC GARDEN","1127","13965.52"
"22271","FELTCRAFT DOLL ROSIE","4866","13921.73"
"21668","RED STRIPE CERAMIC DRAWER KNOB","10357","13912.17"
"22366","DOORMAT AIRMAIL","2085","13875.59"
"22295","HEART FILIGREE DOVE LARGE","8411","13873.54"
"21888","BINGO SET","3520","13862.17"
"22444","GROW YOUR OWN PLANT IN A CAN","10132","13856.60"
"21259","VICTORIAN SEWING BOX SMALL","2293","13843.92"
"21669","BLUE STRIPE CERAMIC DRAWER KNOB","10578","13839.18"
"79323P","PINK CHERRY LIGHTS","2281","13787.93"
"22621","TRADITIONAL KNITTING NANCY","8726","13784.32"
"22776","SWEETHEART CAKESTAND 3 TIER","1378","13753.38"
"22109","FULL ENGLISH BREAKFAST PLATE","3338","13750.11"
"23077","DOUGHNUT LIP GLOSS","10395","13695.77"
"47556B","TEA TIME TEA TOWELS","5201","13691.02"
"22191","IVORY DINER WALL CLOCK","1659","13689.85"
"21871","SAVE THE PLANET MUG","11492","13654.89"
"48116","DOORMAT MULTICOLOUR STRIPE","2350","13634.35"
"21390","FILIGRIS HEART WITH BUTTERFLY","10937","13552.97"
"22636","CHILDS BREAKFAST SET CIRCUS PARADE","1618","13437.03"
"C2","CARRIAGE","268","13426.00"
"23356","LOVE HOT WATER BOTTLE","2359","13334.32"
"23207","LUNCH BAG ALPHABET DESIGN","7830","13325.55"
"22207","FRYING PAN UNION FLAG","3103","13298.57"
"23108","SET OF 10 LED DOLLY LIGHTS","2219","13290.52"
"21673","WHITE SPOT BLUE CERAMIC DRAWER KNOB","10050","13272.39"
"23328","SET 6 SCHOOL MILK BOTTLES IN CRATE","2841","13269.49"
"21098","CHRISTMAS TOILET ROLL","8537","13263.93"
"21704","BAG 250g SWIRLY MARBLES","17175","13235.16"
"21080","SET/20 RED RETROSPOT PAPER NAPKINS","15388","13231.54"
"22846","BREAD BIN DINER STYLE RED","822","13213.97"
"15044A","PINK PAPER PARASOL","4964","13210.85"
"48187","DOOR MAT NEW ENGLAND","2023","13201.61"
"22356","CHARLOTTE BAG PINK POLKADOT","11219","13172.00"
"75049L","LARGE CIRCULAR MIRROR MOBILE","13968","13153.80"
"22150","3 STRIPEY MICE FELTCRAFT","7124","13144.52"
"22580","ADVENT CALENDAR GINGHAM SACK","2322","13141.08"
"21935","SUKI  SHOULDER BAG","7127","13103.21"
"22088","PAPER BUNTING COLOURED LACE","4399","13076.88"
"21955","DOORMAT UNION JACK GUNS AND ROSES","2172","13043.59"
"22553","PLASTERS IN TIN SKULLS","7794","13013.15"
"22464","HANGING METAL HEART LANTERN","7847","12985.31"
"22900","SET 2 TEA TOWELS I LOVE LONDON","4032","12977.66"
"48129","DOORMAT TOPIARY","2087","12927.53"
"84988","SET OF 72 PINK HEART PAPER DOILIES","8305","12913.24"
"21906","PHARMACIE FIRST AID TIN","1786","12879.46"
"22766","PHOTO FRAME CORNICE","4367","12864.25"
"22655","VINTAGE RED KITCHEN CABINET","76","12845.00"
"22838","3 TIER CAKE TIN RED AND CREAM","894","12837.46"
"21216","SET 3 RETROSPOT TEA,COFFEE,SUGAR","2384","12764.91"
"22584","PACK OF 6 PANNETONE GIFT BOXES","4989","12739.15"
"22947","WOODEN ADVENT CALENDAR RED","1011","12704.15"
"22303","COFFEE MUG APPLES DESIGN","5439","12701.63"
"22646","CERAMIC STRAWBERRY CAKE MONEY BANK","8913","12654.71"
"22365","DOORMAT RESPECTABLE HOUSE","1950","12524.10"
"22616","PACK OF 12 LONDON TISSUES","39147","12460.16"
"21535","RED RETROSPOT SMALL MILK JUG","5057","12456.39"
"62018","SOMBRERO","9567","12450.85"
"22623","BOX OF VINTAGE JIGSAW BLOCKS","2312","12432.28"
"22804","CANDLEHOLDER PINK HANGING HEART","4381","12411.64"
"22144","CHRISTMAS CRAFT LITTLE FRIENDS","5134","12382.47"
"85014A","BLACK/BLUE DOTS RUFFLED UMBRELLA","2967","12363.97"
"23174","REGENCY SUGAR BOWL GREEN","3055","12342.43"
"21671","RED SPOT CERAMIC DRAWER KNOB","9488","12339.32"
"21156","RETROSPOT CHILDRENS APRON","6631","12324.05"
"22631","CIRCUS PARADE LUNCH BOX","6271","12239.90"
"85042","ANTIQUE LILY FAIRY LIGHTS","2685","12234.56"
"15056P","EDWARDIAN PARASOL PINK","2473","12228.92"
"79323W","WHITE CHERRY LIGHTS","2026","12198.66"
"22082","RIBBON REEL STRIPES DESIGN","7267","12192.05"
"21080","SET/20 RED SPOTTY PAPER NAPKINS","15688","12185.39"
"22301","COFFEE MUG CAT + BIRD DESIGN","5009","12124.78"
"22192","BLUE DINER WALL CLOCK","1426","12104.80"
"21670","BLUE SPOT CERAMIC DRAWER KNOB","8845","12074.40"
"20969","RED FLORAL FELTCRAFT SHOULDER BAG","3237","12066.52"
"21937","STRAWBERRY   PICNIC BAG","4100","12038.82"
"84212","ASSORTED FLOWER COLOUR ""LEIS""","24794","11961.49"
"84987","SET OF 36 TEATIME PAPER DOILIES","8138","11864.15"
"22729","ALARM CLOCK BAKELIKE ORANGE","2999","11864.00"
"22488","NATURAL SLATE RECTANGLE CHALKBOARD","6905","11788.06"
"23300","GARDENERS KNEELING PAD CUP OF TEA","6809","11785.99"
"21428","SET3 BOOK BOX GREEN GINGHAM FLOWER","2883","11762.93"
"22791","T-LIGHT GLASS FLUTED ANTIQUE","9458","11728.69"
"22750","FELTCRAFT PRINCESS LOLA DOLL","3125","11697.60"
"22943","CHRISTMAS LIGHTS 10 VINTAGE BAUBLES","2381","11696.64"
"47567B","TEA TIME KITCHEN APRON","2166","11683.27"
"21485","RED SPOT HEART HOT WATER BOTTLE","2425","11670.66"
"22151","PLACE SETTING WHITE HEART","27562","11609.19"
"21326","AGED GLASS SILVER T-LIGHT HOLDER","17770","11593.86"
"23581","JUMBO BAG PAISLEY PARK","5020","11581.83"
"21260","FIRST AID TIN","3512","11564.43"
"22508","DOORSTOP RETROSPOT HEART","2880","11561.95"
"22468","BABUSHKA LIGHTS STRING OF 10","1736","11542.60"
"48185","DOOR MAT FAIRY CAKE","1727","11532.31"
"22637","PIGGY BANK RETROSPOT","4478","11492.82"
"22663","JUMBO BAG DOLLY GIRL DESIGN","5764","11465.29"
"22649","STRAWBERRY FAIRY CAKE TEAPOT","2286","11462.58"
"21172","PARTY METAL SIGN","7685","11382.16"
"22367","CHILDRENS APRON SPACEBOY DESIGN","5734","11365.80"
"21429","RED GINGHAM ROSE JEWELLERY BOX","6359","11342.25"
"22988","SOLDIERS EGG CUP","9363","11238.45"
"22844","VINTAGE CREAM DOG FOOD CONTAINER","1181","11199.64"
"21922","UNION STRIPE WITH FRINGE  HAMMOCK","1443","11199.18"
"72351B","SET/6 PINK  BUTTERFLY T-LIGHTS","5785","11184.89"
"22968","ROSE COTTAGE KEEPSAKE BOX","1127","11184.82"
"47599A","PINK PARTY BAGS","5967","11180.57"
"22795","SWEETHEART RECIPE BOOK STAND","1597","11175.81"
"21868","POTTING SHED TEA MUG","9075","11163.64"
"22417","PACK OF 60 SPACEBOY CAKE CASES","21451","11159.90"
